2018-06-06 06:20:24 status installed man-db:amd64 2.7.5-1
2018-06-06 06:20:24 startup packages configure
2018-06-06 06:20:24 configure libelf1:amd64 0.165-3ubuntu1.1 <none>
2018-06-06 06:20:24 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:24 status unpacked libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:24 status half-configured libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:24 status installed libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:24 configure git-man:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status half-configured git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status installed git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 configure git:amd64 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status unpacked git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status half-configured git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status installed git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 configure git-svn:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status half-configured git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status installed git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 configure git-core:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:25 status half-configured git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:25 status installed git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:25 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-06 06:20:25 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:25 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:25 startup packages configure
2018-06-07 06:58:22 startup archives unpack
2018-06-07 06:58:23 upgrade liblouis-data:all 2.6.4-2ubuntu0.2 2.6.4-2ubuntu0.3
2018-06-07 06:58:23 status half-configured liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status unpacked liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status half-installed liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status half-installed liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status unpacked liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:23 status unpacked liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 upgrade liblouis9:amd64 2.6.4-2ubuntu0.2 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:24 status half-configured liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-07 06:58:24 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-07 06:58:24 status half-installed liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-07 06:58:24 status half-installed liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-07 06:58:24 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 upgrade python3-louis:all 2.6.4-2ubuntu0.2 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 status half-configured python3-louis:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:25 status unpacked python3-louis:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:25 status half-installed python3-louis:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:25 status half-installed python3-louis:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:25 status unpacked python3-louis:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:25 status unpacked python3-louis:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:25 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-07 06:58:25 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:25 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:26 startup packages configure
2018-06-07 06:58:26 configure liblouis-data:all 2.6.4-2ubuntu0.3 <none>
2018-06-07 06:58:26 status unpacked liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 status half-configured liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 status installed liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 configure liblouis9:amd64 2.6.4-2ubuntu0.3 <none>
2018-06-07 06:58:26 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:26 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 status half-configured liblouis9:amd64 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 status installed liblouis9:amd64 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 configure python3-louis:all 2.6.4-2ubuntu0.3 <none>
2018-06-07 06:58:26 status unpacked python3-louis:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 status half-configured python3-louis:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:26 status installed python3-louis:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:27 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-07 06:58:27 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:27 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:27 startup packages configure
2018-06-07 07:35:20 startup archives unpack
2018-06-07 07:35:21 upgrade libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:21 status half-configured libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-06-07 07:35:21 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-06-07 07:35:21 status half-installed libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-06-07 07:35:21 status triggers-pending man-db:amd64 2.7.5-1
2018-06-07 07:35:21 status half-installed libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-06-07 07:35:22 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:22 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:22 upgrade code:amd64 1.23.1-1525968403 1.24.0-1528306776
2018-06-07 07:35:22 status half-configured code:amd64 1.23.1-1525968403
2018-06-07 07:35:22 status unpacked code:amd64 1.23.1-1525968403
2018-06-07 07:35:22 status half-installed code:amd64 1.23.1-1525968403
2018-06-07 07:35:22 status triggers-pending bamfdaemon:amd64 0.5.3~bzr0+16.04.20180209-0ubuntu1
2018-06-07 07:35:22 status triggers-pending desktop-file-utils:amd64 0.22-1ubuntu5.1
2018-06-07 07:35:22 status half-installed code:amd64 1.23.1-1525968403
2018-06-07 07:35:22 status triggers-pending gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-06-07 07:35:23 status triggers-pending mime-support:all 3.59ubuntu1
2018-06-07 07:35:35 status half-installed code:amd64 1.23.1-1525968403
2018-06-07 07:35:35 status unpacked code:amd64 1.24.0-1528306776
2018-06-07 07:35:36 status unpacked code:amd64 1.24.0-1528306776
2018-06-07 07:35:36 trigproc man-db:amd64 2.7.5-1 <none>
2018-06-07 07:35:36 status half-configured man-db:amd64 2.7.5-1
2018-06-07 07:35:36 status installed man-db:amd64 2.7.5-1
2018-06-07 07:35:36 trigproc bamfdaemon:amd64 0.5.3~bzr0+16.04.20180209-0ubuntu1 <none>
2018-06-07 07:35:36 status half-configured bamfdaemon:amd64 0.5.3~bzr0+16.04.20180209-0ubuntu1
2018-06-07 07:35:39 status installed bamfdaemon:amd64 0.5.3~bzr0+16.04.20180209-0ubuntu1
2018-06-07 07:35:39 trigproc desktop-file-utils:amd64 0.22-1ubuntu5.1 <none>
2018-06-07 07:35:39 status half-configured desktop-file-utils:amd64 0.22-1ubuntu5.1
2018-06-07 07:35:40 status installed desktop-file-utils:amd64 0.22-1ubuntu5.1
2018-06-07 07:35:40 trigproc gnome-menus:amd64 3.13.3-6ubuntu3.1 <none>
2018-06-07 07:35:40 status half-configured gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-06-07 07:35:40 status installed gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-06-07 07:35:40 trigproc mime-support:all 3.59ubuntu1 <none>
2018-06-07 07:35:40 status half-configured mime-support:all 3.59ubuntu1
2018-06-07 07:35:41 status installed mime-support:all 3.59ubuntu1
2018-06-07 07:35:41 startup packages configure
2018-06-07 07:35:41 configure libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3 <none>
2018-06-07 07:35:41 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:41 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:41 status half-configured libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:41 status installed libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.3
2018-06-07 07:35:41 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-07 07:35:41 configure code:amd64 1.24.0-1528306776 <none>
2018-06-07 07:35:41 status unpacked code:amd64 1.24.0-1528306776
2018-06-07 07:35:41 status half-configured code:amd64 1.24.0-1528306776
2018-06-07 07:35:42 status installed code:amd64 1.24.0-1528306776
2018-06-07 07:35:42 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-07 07:35:42 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-07 07:35:42 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-07 07:35:42 startup packages configure
2018-06-12 06:58:38 startup archives unpack
2018-06-12 06:58:38 upgrade gpgv:amd64 1.4.20-1ubuntu3.1 1.4.20-1ubuntu3.2
2018-06-12 06:58:38 status half-configured gpgv:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:38 status unpacked gpgv:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:38 status half-installed gpgv:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:38 status triggers-pending man-db:amd64 2.7.5-1
2018-06-12 06:58:39 status half-installed gpgv:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:39 status unpacked gpgv:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:39 status unpacked gpgv:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:39 trigproc man-db:amd64 2.7.5-1 <none>
2018-06-12 06:58:39 status half-configured man-db:amd64 2.7.5-1
2018-06-12 06:58:39 status installed man-db:amd64 2.7.5-1
2018-06-12 06:58:40 startup packages configure
2018-06-12 06:58:40 configure gpgv:amd64 1.4.20-1ubuntu3.2 <none>
